#{"t_start": 1778267186.480947, "env_id": "None"}
r,l,t
700.0,3,35.612095
100.0,50,35.646736
700.0,5,35.65139
700.0,4,35.655113
700.0,11,35.666252
700.0,11,35.677947
700.0,11,35.688644
-200.0,50,35.732715
700.0,8,35.73984
-300.0,50,35.77989
700.0,5,35.78442
-100.0,50,35.818886
700.0,3,35.821242
700.0,4,35.824064
-200.0,50,35.858305
700.0,12,35.867016
700.0,16,35.878248
700.0,5,35.88229
700.0,4,35.885173
700.0,4,35.888109
700.0,46,35.950461
700.0,3,35.953171
700.0,21,35.970937
700.0,6,35.976142
700.0,5,35.980493
700.0,5,35.984628
700.0,3,35.987183
700.0,3,35.989786
700.0,7,35.995283
700.0,15,36.007439
700.0,7,36.013024
100.0,50,36.537224
700.0,20,36.551307
700.0,23,36.568821
700.0,7,36.57405
700.0,3,36.576906
700.0,11,36.584768
700.0,18,36.597365
700.0,3,36.59973
700.0,18,36.612238
700.0,3,36.614397
700.0,3,36.616653
700.0,10,36.623599
0.0,50,36.65779
700.0,13,36.667625
700.0,16,36.679079
700.0,3,36.681352
700.0,36,36.70705
700.0,22,36.724105
700.0,12,36.734957
700.0,10,36.741858
700.0,11,36.749413
700.0,33,36.771953
700.0,4,36.774986
700.0,31,36.796114
700.0,11,36.803755
700.0,5,36.807178
700.0,6,36.811448
700.0,3,36.813541
700.0,7,36.818303
700.0,3,36.820389
700.0,13,36.828988
700.0,4,36.831726
700.0,7,36.836405
700.0,37,36.861003
700.0,7,36.865933
700.0,4,36.868815
-200.0,50,36.90321
700.0,3,36.905558
700.0,6,36.909801
700.0,25,36.926887
700.0,6,36.931018
700.0,3,36.933201
700.0,4,36.936113
700.0,43,36.96578
700.0,3,36.968157
700.0,4,36.971224
700.0,7,36.976271
700.0,6,36.980638
700.0,9,36.987169
700.0,34,37.0107
700.0,4,37.013771
700.0,22,37.028512
700.0,6,37.032661
700.0,49,37.066019
-100.0,50,37.09969
700.0,33,37.121805
700.0,3,37.123947
700.0,12,37.132398
100.0,50,37.166357
700.0,28,37.186427
700.0,7,37.191314
700.0,29,37.211144
700.0,3,37.21335
700.0,27,37.232072
700.0,3,37.234237
700.0,28,37.7109
700.0,9,37.717578
700.0,3,37.719797
700.0,16,37.731218
700.0,5,37.734719
700.0,7,37.739573
700.0,3,37.741715
700.0,8,37.747245
700.0,4,37.75018
700.0,32,37.775638
700.0,16,37.787518
700.0,4,37.790447
700.0,6,37.794834
700.0,31,37.818382
700.0,9,37.825277
700.0,10,37.833719
700.0,3,37.836099
700.0,21,37.850847
700.0,33,37.873958
700.0,42,37.903213
700.0,10,37.910289
700.0,6,37.914498
700.0,16,37.926466
700.0,7,37.931891
100.0,50,37.965145
700.0,14,37.975155
700.0,3,37.977557
700.0,7,37.982227
700.0,7,37.987099
700.0,7,38.017264
700.0,30,38.03857
700.0,31,38.059197
700.0,9,38.065381
700.0,24,38.082395
700.0,5,38.108564
700.0,16,38.139232
700.0,16,38.159555
700.0,3,38.186076
-300.0,50,38.230615
700.0,5,38.235069
700.0,28,38.255071
700.0,15,38.265349
-200.0,50,38.299461
700.0,3,38.301829
700.0,7,38.306751
700.0,4,38.309611
700.0,6,38.313885
700.0,4,38.316689
700.0,5,38.320146
700.0,32,38.341729
700.0,19,38.354597
700.0,4,38.357383
700.0,7,38.362391
700.0,13,38.371233
700.0,3,38.373385
700.0,25,38.390386
-100.0,50,38.424116
700.0,12,38.432786
700.0,31,38.454324
700.0,11,38.461856
700.0,10,38.468706
700.0,15,38.479005
-200.0,50,38.513346
700.0,5,38.517193
700.0,6,38.521539
700.0,7,38.527161
700.0,6,38.532033
700.0,6,38.985449
700.0,25,39.002688
100.0,50,39.040272
700.0,17,39.052106
700.0,10,39.059857
700.0,3,39.0625
700.0,14,39.07337
700.0,33,39.096904
700.0,12,39.105291
700.0,6,39.109697
700.0,3,39.111898
700.0,3,39.114068
700.0,3,39.116238
700.0,3,39.118426
700.0,7,39.123479
700.0,5,39.127449
700.0,5,39.131106
700.0,26,39.149668
700.0,21,39.166368
700.0,15,39.179332
700.0,44,39.212735
700.0,6,39.217042
700.0,6,39.221149
700.0,3,39.223201
700.0,5,39.227444
